Number A,Operation,Number B,Solution
5.0,4.0,4.0,1.25
6.0,1.0,15.0,21.0
13.0,4.0,9.0,1.4444444444444444
10.0,2.0,9.0,1.0
20.0,4.0,9.0,2.2222222222222223
15.0,2.0,19.0,-4.0
10.0,4.0,14.0,0.7142857142857143
18.0,2.0,8.0,10.0
9.0,1.0,7.0,16.0
8.0,4.0,3.0,2.6666666666666665
5.0,4.0,19.0,0.2631578947368421
16.0,4.0,6.0,2.6666666666666665
6.0,4.0,10.0,0.6
9.0,1.0,4.0,13.0
2.0,1.0,19.0,21.0
10.0,2.0,18.0,-8.0
16.0,1.0,3.0,19.0
14.0,1.0,6.0,20.0
11.0,2.0,4.0,7.0
3.0,4.0,14.0,0.21428571428571427
12.0,1.0,2.0,14.0
17.0,3.0,3.0,51.0
11.0,3.0,14.0,154.0
2.0,3.0,10.0,20.0
17.0,1.0,17.0,34.0
19.0,4.0,12.0,1.5833333333333333
17.0,4.0,8.0,2.125
16.0,4.0,12.0,1.3333333333333333
11.0,3.0,5.0,55.0
11.0,2.0,4.0,7.0
17.0,3.0,5.0,85.0
13.0,3.0,3.0,39.0
17.0,2.0,2.0,15.0
12.0,1.0,8.0,20.0
2.0,1.0,17.0,19.0
17.0,4.0,2.0,8.5
15.0,2.0,10.0,5.0
13.0,3.0,8.0,104.0
9.0,4.0,10.0,0.9
18.0,2.0,12.0,6.0
10.0,2.0,15.0,-5.0
3.0,3.0,7.0,21.0
2.0,1.0,9.0,11.0
11.0,3.0,2.0,22.0
7.0,1.0,18.0,25.0
16.0,1.0,15.0,31.0
11.0,3.0,17.0,187.0
15.0,1.0,16.0,31.0
3.0,1.0,8.0,11.0
11.0,4.0,15.0,0.7333333333333333
19.0,1.0,8.0,27.0
6.0,1.0,3.0,9.0
15.0,1.0,15.0,30.0
3.0,2.0,20.0,-17.0
6.0,2.0,19.0,-13.0
20.0,1.0,11.0,31.0
15.0,3.0,7.0,105.0
3.0,3.0,20.0,60.0
14.0,1.0,1.0,15.0
11.0,1.0,11.0,22.0
18.0,2.0,17.0,1.0
10.0,1.0,3.0,13.0
17.0,3.0,20.0,340.0
2.0,2.0,12.0,-10.0
20.0,1.0,3.0,23.0
2.0,2.0,2.0,0.0
18.0,4.0,5.0,3.6
11.0,4.0,14.0,0.7857142857142857
15.0,3.0,17.0,255.0
2.0,1.0,11.0,13.0
16.0,2.0,6.0,10.0
14.0,1.0,18.0,32.0
12.0,3.0,17.0,204.0
10.0,4.0,8.0,1.25
14.0,3.0,11.0,154.0
20.0,2.0,4.0,16.0
15.0,2.0,3.0,12.0
18.0,2.0,1.0,17.0
2.0,2.0,9.0,-7.0
11.0,1.0,17.0,28.0
11.0,2.0,8.0,3.0
4.0,3.0,20.0,80.0
12.0,3.0,8.0,96.0
19.0,4.0,13.0,1.4615384615384615
17.0,2.0,9.0,8.0
15.0,4.0,8.0,1.875
6.0,3.0,14.0,84.0
17.0,3.0,2.0,34.0
3.0,1.0,10.0,13.0
7.0,3.0,14.0,98.0
6.0,3.0,20.0,120.0
1.0,2.0,7.0,-6.0
17.0,2.0,3.0,14.0
5.0,3.0,12.0,60.0
4.0,4.0,8.0,0.5
10.0,3.0,16.0,160.0
18.0,3.0,12.0,216.0
11.0,2.0,7.0,4.0
14.0,3.0,3.0,42.0
17.0,1.0,20.0,37.0
12.0,1.0,7.0,19.0
15.0,1.0,13.0,28.0
10.0,1.0,11.0,21.0
16.0,2.0,15.0,1.0
8.0,3.0,1.0,8.0
12.0,3.0,17.0,204.0
2.0,4.0,10.0,0.2
7.0,1.0,10.0,17.0
7.0,3.0,9.0,63.0
8.0,1.0,6.0,14.0
1.0,2.0,3.0,-2.0
12.0,2.0,10.0,2.0
1.0,3.0,9.0,9.0
20.0,4.0,14.0,1.4285714285714286
13.0,3.0,7.0,91.0
12.0,4.0,12.0,1.0
3.0,4.0,11.0,0.2727272727272727
8.0,3.0,12.0,96.0
17.0,2.0,11.0,6.0
1.0,2.0,7.0,-6.0
17.0,4.0,4.0,4.25
14.0,3.0,8.0,112.0
3.0,4.0,18.0,0.16666666666666666
14.0,2.0,5.0,9.0
8.0,3.0,1.0,8.0
9.0,3.0,5.0,45.0
8.0,3.0,4.0,32.0
18.0,2.0,18.0,0.0
20.0,2.0,16.0,4.0
14.0,4.0,1.0,14.0
1.0,1.0,20.0,21.0
5.0,2.0,13.0,-8.0
17.0,2.0,19.0,-2.0
14.0,2.0,14.0,0.0
3.0,4.0,15.0,0.2
20.0,1.0,3.0,23.0
8.0,1.0,3.0,11.0
18.0,3.0,17.0,306.0
7.0,3.0,14.0,98.0
9.0,3.0,11.0,99.0
16.0,1.0,1.0,17.0
9.0,3.0,20.0,180.0
2.0,1.0,1.0,3.0
14.0,4.0,6.0,2.3333333333333335
8.0,1.0,18.0,26.0
4.0,2.0,15.0,-11.0
6.0,3.0,4.0,24.0
15.0,2.0,3.0,12.0
11.0,2.0,14.0,-3.0
19.0,1.0,3.0,22.0
14.0,4.0,4.0,3.5
3.0,3.0,19.0,57.0
11.0,2.0,11.0,0.0
14.0,4.0,10.0,1.4
11.0,2.0,16.0,-5.0
7.0,2.0,9.0,-2.0
10.0,4.0,10.0,1.0
4.0,1.0,16.0,20.0
13.0,3.0,12.0,156.0
9.0,3.0,12.0,108.0
1.0,1.0,15.0,16.0
12.0,3.0,18.0,216.0
4.0,3.0,10.0,40.0
11.0,4.0,3.0,3.6666666666666665
13.0,2.0,12.0,1.0
3.0,2.0,20.0,-17.0
17.0,3.0,15.0,255.0
17.0,4.0,3.0,5.666666666666667
10.0,4.0,4.0,2.5
19.0,3.0,7.0,133.0
14.0,3.0,20.0,280.0
4.0,4.0,17.0,0.23529411764705882
9.0,2.0,19.0,-10.0
12.0,3.0,20.0,240.0
11.0,2.0,14.0,-3.0
20.0,1.0,9.0,29.0
13.0,4.0,10.0,1.3
10.0,3.0,3.0,30.0
13.0,1.0,12.0,25.0
12.0,1.0,3.0,15.0
16.0,2.0,12.0,4.0
12.0,1.0,13.0,25.0
3.0,2.0,5.0,-2.0
1.0,2.0,18.0,-17.0
9.0,1.0,11.0,20.0
12.0,1.0,8.0,20.0
11.0,4.0,13.0,0.8461538461538461
10.0,3.0,20.0,200.0
3.0,3.0,5.0,15.0
12.0,2.0,17.0,-5.0
14.0,3.0,6.0,84.0
6.0,1.0,10.0,16.0
3.0,3.0,1.0,3.0
3.0,3.0,2.0,6.0
2.0,1.0,8.0,10.0
19.0,2.0,9.0,10.0
9.0,3.0,1.0,9.0
10.0,2.0,11.0,-1.0
2.0,1.0,6.0,8.0
15.0,4.0,17.0,0.8823529411764706
18.0,3.0,6.0,108.0
13.0,4.0,7.0,1.8571428571428572
19.0,2.0,12.0,7.0
19.0,4.0,12.0,1.5833333333333333
7.0,3.0,6.0,42.0
10.0,4.0,15.0,0.6666666666666666
18.0,1.0,16.0,34.0
8.0,2.0,3.0,5.0
8.0,3.0,19.0,152.0
20.0,3.0,10.0,200.0
5.0,4.0,8.0,0.625
18.0,1.0,17.0,35.0
2.0,3.0,7.0,14.0
2.0,2.0,2.0,0.0
3.0,2.0,10.0,-7.0
6.0,4.0,16.0,0.375
3.0,1.0,19.0,22.0
19.0,2.0,11.0,8.0
18.0,1.0,6.0,24.0
12.0,1.0,17.0,29.0
8.0,4.0,13.0,0.6153846153846154
10.0,4.0,16.0,0.625
10.0,4.0,20.0,0.5
8.0,1.0,10.0,18.0
16.0,2.0,16.0,0.0
8.0,3.0,19.0,152.0
11.0,1.0,19.0,30.0
1.0,1.0,10.0,11.0
3.0,4.0,3.0,1.0
2.0,1.0,12.0,14.0
1.0,2.0,15.0,-14.0
7.0,4.0,2.0,3.5
3.0,1.0,17.0,20.0
3.0,2.0,14.0,-11.0
4.0,3.0,4.0,16.0
12.0,3.0,11.0,132.0
10.0,4.0,19.0,0.5263157894736842
5.0,4.0,19.0,0.2631578947368421
15.0,1.0,19.0,34.0
9.0,1.0,6.0,15.0
14.0,2.0,18.0,-4.0
12.0,1.0,6.0,18.0
18.0,1.0,10.0,28.0
4.0,3.0,18.0,72.0
18.0,3.0,6.0,108.0
11.0,1.0,8.0,19.0
5.0,4.0,13.0,0.38461538461538464
16.0,3.0,2.0,32.0
9.0,2.0,16.0,-7.0
18.0,4.0,19.0,0.9473684210526315
7.0,3.0,12.0,84.0
18.0,4.0,6.0,3.0
10.0,1.0,5.0,15.0
15.0,4.0,1.0,15.0
10.0,4.0,3.0,3.3333333333333335
13.0,1.0,2.0,15.0
4.0,4.0,20.0,0.2
17.0,3.0,10.0,170.0
6.0,2.0,16.0,-10.0
18.0,4.0,12.0,1.5
7.0,1.0,9.0,16.0
19.0,2.0,4.0,15.0
5.0,2.0,3.0,2.0
8.0,2.0,5.0,3.0
19.0,4.0,10.0,1.9
14.0,4.0,16.0,0.875
2.0,1.0,9.0,11.0
17.0,2.0,14.0,3.0
12.0,3.0,7.0,84.0
6.0,1.0,11.0,17.0
16.0,1.0,10.0,26.0
1.0,2.0,11.0,-10.0
17.0,1.0,10.0,27.0
20.0,1.0,6.0,26.0
19.0,3.0,8.0,152.0
10.0,4.0,15.0,0.6666666666666666
7.0,2.0,2.0,5.0
19.0,4.0,4.0,4.75
20.0,1.0,14.0,34.0
4.0,4.0,7.0,0.5714285714285714
7.0,4.0,4.0,1.75
7.0,4.0,5.0,1.4
11.0,4.0,3.0,3.6666666666666665
13.0,1.0,6.0,19.0
20.0,3.0,19.0,380.0
5.0,3.0,13.0,65.0
16.0,2.0,17.0,-1.0
18.0,4.0,5.0,3.6
12.0,4.0,19.0,0.631578947368421
15.0,3.0,12.0,180.0
20.0,4.0,5.0,4.0
20.0,3.0,3.0,60.0
8.0,2.0,4.0,4.0
11.0,3.0,7.0,77.0
3.0,3.0,7.0,21.0
1.0,3.0,15.0,15.0
18.0,4.0,14.0,1.2857142857142858
8.0,1.0,6.0,14.0
12.0,1.0,14.0,26.0
4.0,4.0,13.0,0.3076923076923077
7.0,2.0,8.0,-1.0
4.0,4.0,16.0,0.25
17.0,4.0,2.0,8.5
14.0,1.0,14.0,28.0
8.0,3.0,9.0,72.0
19.0,3.0,8.0,152.0
5.0,1.0,1.0,6.0
6.0,2.0,13.0,-7.0
5.0,1.0,11.0,16.0
14.0,4.0,17.0,0.8235294117647058
1.0,1.0,15.0,16.0
20.0,3.0,5.0,100.0
15.0,1.0,17.0,32.0
18.0,4.0,16.0,1.125
9.0,3.0,19.0,171.0
20.0,4.0,4.0,5.0
4.0,2.0,15.0,-11.0
17.0,2.0,12.0,5.0
17.0,1.0,17.0,34.0
1.0,2.0,17.0,-16.0
8.0,1.0,15.0,23.0
12.0,2.0,16.0,-4.0
19.0,1.0,12.0,31.0
15.0,2.0,3.0,12.0
4.0,3.0,14.0,56.0
17.0,2.0,2.0,15.0
9.0,3.0,5.0,45.0
19.0,4.0,19.0,1.0
18.0,4.0,15.0,1.2
20.0,2.0,12.0,8.0
15.0,1.0,18.0,33.0
17.0,1.0,3.0,20.0
17.0,2.0,18.0,-1.0
3.0,3.0,16.0,48.0
16.0,4.0,11.0,1.4545454545454546
2.0,2.0,8.0,-6.0
11.0,2.0,4.0,7.0
1.0,2.0,2.0,-1.0
9.0,3.0,5.0,45.0
4.0,4.0,16.0,0.25
18.0,4.0,17.0,1.0588235294117647
11.0,1.0,19.0,30.0
17.0,4.0,18.0,0.9444444444444444
15.0,2.0,3.0,12.0
17.0,4.0,11.0,1.5454545454545454
11.0,1.0,15.0,26.0
1.0,1.0,1.0,2.0
16.0,4.0,4.0,4.0
2.0,1.0,17.0,19.0
11.0,3.0,8.0,88.0
